"results_id";"Weekdays";"Professors";"Courses";"Rooms";"ProfCourses";"maxStudents";"ClassRooms";"Computers";"How_Many";"Hall"
1;"Monday";"Eckroth";"Database Systems";"Room1";"Eckroth (DatabaseSystem, BigData, SoftDev1)";25;210;210;12;"Elizabeth"
2;"Wednesday";"Plante";"Web App";"Room2";"Plante (WebApp, SeniorP1, SeniorP2, IntrotoComp2, SeniorR1, SeniorR2)";0;315;0;0;"Elizabeth"
3;"Friday";"ElAarag";"Big Data";"Room3";"ElAarag (DiscreteStructures, OperatingSystems, ComputerNetworks)";0;205;205;18;"Elizabeth"
4;"";"Koc";"Senior P1";"Room4";"Koc (IntrotoComp1, ComputerGraphics)";0;313;0;0;"Elizabeth"
5;"";"TBA";"Senior P2";"Room5";"TBA (IntrotoComputing, IntrotoComp1)";0;204;0;0;"Elizabeth"
6;"";"";"Intro to Computing";"Empty";"";0;309;0;0;"Elizabeth"
7;"";"";"Intro to Comp1";"Lab1";"";0;103;0;0;"Elizabeth"
8;"";"";"Intro to Comp2";"Lab2";"";0;311;0;0;"Elizabeth"
9;"";"";"Discrete Structures";"";"";0;0;0;0;""
10;"";"";"Soft Dev1";"";"";0;0;0;0;""
11;"";"";"Operating Systems";"";"";0;0;0;0;""
12;"";"";"Computer Networks";"";"";0;0;0;0;""
13;"";"";"Computer Graphics";"";"";0;0;0;0;""
14;"";"";"SeniorR1";"";"";0;0;0;0;""
15;"";"";"SeniorR2";"";"";0;0;0;0;""
