Weekday;Period;Room;Teacher;Class
Monday;0;Room1;Eckroth;Database Systems
Monday;0;Room2;Plante;Web App
Monday;0;empty;Koc;Computer Graphics
Monday;1;Room1;ElAarag;Operating Systems
Monday;1;Lab1;TBA;Big Data
Monday;2;Room1;Koc;Intro to Comp1
Monday;2;Room4;ElAarag;Discrete Structures
Monday;2;Room5;Plante;Intro to Comp2
Monday;3;Room1;Eckroth;Soft Dev1
Monday;4;Room1;ElAarag;Computer Networks
Monday;4;Room2;TBA;Intro to Computing
Wednesday;0;Room1;Eckroth;Database Systems
Wednesday;0;Room2;Plante;Web App
Wednesday;0;empty;Koc;Computer Graphics
Wednesday;1;Room1;ElAarag;Operating Systems
Wednesday;1;Lab1;TBA;Big Data
Wednesday;2;Room1;Koc;Intro to Comp1
Wednesday;2;Room4;ElAarag;Discrete Structures
Wednesday;2;Room5;Plante;Intro to Comp2
Wednesday;3;Room1;Eckroth;Soft Dev1
Wednesday;4;Room1;ElAarag;Computer Networks
Wednesday;4;Room2;TBA;Intro to Computing
Friday;0;Room1;Eckroth;Database Systems
Friday;0;Room2;Plante;Web App
Friday;0;empty;Koc;Computer Graphics
Friday;1;Room1;ElAarag;Operating Systems
Friday;1;Lab1;TBA;Big Data
Friday;2;Room1;Koc;Intro to Comp1
Friday;2;Room4;ElAarag;Discrete Structures
Friday;2;Room5;Plante;Intro to Comp2
Friday;3;Room1;Eckroth;Soft Dev1
